"IDStation","AQ_pm10","NameStation","Altitude","Latitude","Longitude"
"1264",22.2118644067797,"Sondrio Via Paribelli",290,461678524406651,98792099244699
"1265",29.6275071633238,"Lodi San Alberto",76,453027835030958,949527369692632
"1269",28.1646341463415,"Dalmine Via Verdi",207,456497025123625,960122333878526
"1297",36.2130681818182,"Spinadesco Via Battisti",48,451504688698568,993059647227233
"548",36.8095238095238,"Milano Via Senato",118,45470499014097,919746036011253
"554",28.9565217391304,"Saronno Via Santuario",212,456273570527389,902640137977097
"560",22.1066282420749,"Varese Via Copelli",383,458169732332637,882024070715821
"561",28.1288343558282,"Como Via Cattaneo",202,458150428601129,906697137484454
"564",21.9213483146067,"Erba Via Battisti",279,45808573806923,922177920448843
"576",31.8407079646018,"Merate Via Madonna Di Loreto",279,456979519897024,94061909386866
"583",24.2507204610951,"Bergamo Via Meucci",249,456910374054721,964365057946138
"592",30.3450292397661,"Treviglio Pzza Insurrezione",191,455193349813872,959200999488842
"600",31.5972222222222,"Lodi Via Vignati",80,453060129875238,948526286320174
"609",30.0879765395894,"Casirate D'Adda Via Cimitero",108,454982271339449,955623226235176
"627",31.9410112359551,"Cremona Pzza Cadorna",39,451319469128517,10015741513336
"633",34.4257142857143,"Soresina Via Landriani",70,452839771544676,986339841999363
"642",28.0061538461538,"Pavia Via Folperti",77,451946760990779,916463830063009
"649",28.6168224299065,"Brescia Via Broletto",149,455400578469714,102228184492742
"655",29.2413793103448,"Darfo Boario Terme Via De Amicis",221,458746021098904,101773568089814
"669",30.8381502890173,"Brescia Villaggio Sereno",70,455130388186538,101919418887793
"670",28.9283667621776,"Mantova San Agnese",22,451605683301058,107955641137079
"674",28.6938110749186,"Monza Via Machiavelli",162,455802634844224,927357309271327
"677",33.5847457627119,"Cremona Via Fatebenefratelli",43,451425406322169,100438361583694
"681",12.0192926045016,"Moggio Loc Penscei",1194,459127875203029,949753816765342
"685",26.7682926829268,"Calusco D'Adda Via Caduti Sul Lavoro",273,456904290785451,948426092764779
"693",29.702005730659,"Sannazzaro De Burgondi Via Traversi",85,451027662768414,890417452771467
"695",30.0712250712251,"Ponti Sul Mincio Via San Martino",113,454127716916863,106833573437868
"697",29.8367952522255,"Borgofranco Sul Po Loc Bonizzo",14,450465015381673,111809358191275
"703",29.3431952662722,"Schivenoglia Via Malpasso",NA,450168778207554,110760946326405
"705",29.9287833827893,"Milano Pascal Citta Studi",122,454789960616874,92354910384975
"706",19.9818731117825,"Lecco Via Sora",272,458637488412797,939995034468185
"708",31.562091503268,"Parona Via Della Miseria",112,452819356103579,875433459453983
"STA-CH0011A",16.9254187327824,"Ticino_STA-CH0011A",280,460110999994635,89571
"STA-CH0033A",15.1159090909091,"Ticino_STA-CH0033A",203,461602999994636,893394
"STA.IT0499A",17.0849993589744,"Laces/Latsch_T0499A",640,4661947,1085906
"STA.IT1830A",29.4139784946237,"Alessandria_T1830A",91,449203,86232
"STA.IT1878A",19.1299435028249,"Vercelli_T1878A",131,453189,84024
"STA.IT1904A",14.3684210526316,"Dernice_T1904A",620,447633,90524
"STA.IT2121A",18.9364161849711,"Borgomanero_T2121A",301,456894,84584
"STA.IT2282A",17.7815533980583,"Novara_T2282A",154,454397,86204
